Name,Online_Name,Stock,Company,Category,Price,Attributes,Packing_Charges
Prawns Hot Garlic Rice,Prawns Hot Garlic Fried Rice,,,Rice,259,non-veg,6
Chicken Egg Wrap Rice,Chicken Egg Wrap Fried Rice,,,Rice,279,non-veg,6
Prawns Egg Wrap Rice,Prawns Egg Wrap Fried Rice,,,Rice,299,non-veg,6
Packaged Water [ 1 L ],Packaged Water [ 1 L ],WATER_1L,,Drinks,20,veg,0
Schezwan Chutney,Schezwan Chutney,,,Chutney,20,veg,3
Chilli - Oil Chutney,Chilli - Oil Chutney,,,Chutney,20,veg,3
Spicy Tomato Chutney,Spicy Tomato Chutney,,,Chutney,20,veg,3
Chicken Spring Rolls,Chicken Spring Rolls,,,Appetizers,189,non-veg,6
Coke Bottle [ 250 Ml ],Coke Bottle [ 250 ml ],COKE_250_ML,,Drinks,30,veg,0
Thums-up Bottle [ 250 Ml ],Thums-Up Bottle [ 250 ml ],THUMS_UP_250_ML,,Drinks,30,veg,0
Sprite Bottle [ 250 Ml ],Sprite Bottle [ 250 ml ],SPRITE_250_ML,,Drinks,30,veg,0
Chicken Lung Fung Soup,Chicken Lung Fung Soup,,,Soup,159,non-veg,6
Garlic Blaze Combo [ Non-veg ],Garlic Blaze Combo [ Non-Veg ],,,Combo,389,non-veg,13
Garlic Blaze Combo [ Veg ],Garlic Blaze Combo [ Veg ],,,Combo,349,veg,13
Wok N' Roll Saucy Combo [non-veg],Wok n' Roll Saucy Combo [Non-Veg],,,Combo,389,non-veg,13
Wok N' Roll Manchurian Combo [ Veg],Wok n' Roll Manchurian Combo [ Veg],,,Combo,349,veg,13
Dragons Embrace Combo [ Non-veg ],Dragons Embrace Combo [ Non-Veg ],,,Combo,389,non-veg,13
Dragons Embrace Combo [ Veg ],Dragons Embrace Combo [ Veg ],,,Combo,349,veg,13
Sumo Loves Chilly [veg],Sumo Loves Garlic [Veg],,,Platters,209,veg,0
Sumo Loves Chilly [non-veg],Sumo Loves Garlic [Non-Veg],,,Platters,229,non-veg,0
The Pahadi Bento Box [veg],The Pahadi Bento Box [veg] (Veg Fried Rice),,,Bento Boxes [PHB Special],0,veg,0
The Pahadi Bento Box [veg],The Pahadi Bento Box [veg] (Veg Hakka Noodles),,,,,,
The Pahadi Bento Box [non-veg],The Pahadi Bento Box [Non-Veg] (Chicken Hakka Noodles),,,Bento Boxes [PHB Special],0,non-veg,13
The Pahadi Bento Box [non-veg],The Pahadi Bento Box [Non-Veg] (Chicken Fried Rice),,,,,,
Coke 250 Ml,coke 250 ml,COKE_250_ML,,Staff Drinks,19,veg,0
Thums-up 250 Ml,thums-up 250 ml,THUMS_UP_250_ML,,Staff Drinks,19,veg,0
Sprite 250 Ml,sprite 250 ml,SPRITE_250_ML,,Staff Drinks,19,veg,0
Water 1 L,water 1 l,WATER_1L,,Staff Drinks,20,veg,0
Diet Coke 250 Ml,diet coke 250 ml,DIET_COKE_250ML,,Staff Drinks,36,veg,0
